fluorophore,synonym1,synonym2,synonym3,channel.Aurora,channel.NL,channel.ID7000,channel.s8,channel.opteon,channel.mosaic,channel.xenith,channel.A5SE,excitation.laser,nominal.wavelength,is.viability
Spark PLUS B550,SPB550,[SPB550], Spark PLUS Blue 550,B3-A,B3-A,488CH7-A,B4 (545)-A,B543-A,B3-A,FL36-A,B537-A,Blue,550,
Spark PLUS UV 395,Spark PLUS UV395,SPUV395,Spark PLUS UV 395,UV2-A,V1-A,355CH2-A,UV2 (390)-A,UV380-A,U2-A,FL07-A,UV379-A,UV,395,
Spark Red 718,SR718,,SparkRed-718,R4-A,R4-A,637CH23-A,R4 (725)-A,R717-A,R4-A,FL43-A,R710-A,Red,718,
Spark UV 387,Spark UV387,SUV387,SparkUV-387,UV1-A,V1-A,355CH1-A,UV1 (375)-A,UV380-A,U1-A,FL07-A,UV379-A,UV,387,
Spark UV 395,Spark UV395,SUV395,SparkUV-395,UV2-A,V1-A,355CH2-A,UV2 (390)-A,UV380-A,U2-A,FL07-A,UV379-A,UV,395,
Spark Violet 423,SV423,,SparkViolet-423,V2-A,V2-A,405CH1-A,V1 (420)-A,V440-A,V1-A,FL16-A,V427-A,Violet,423,
Spark PLUS V475,Spark Violet 475,SV475,SparkViolet-475,V5-A,V5-A,405CH4-A,V4 (475)-A,V469-A,V4-A,FL18-A,V470-A,Violet,475,
Spark Violet 500,SV500,,SparkViolet-500,V5-A,V5-A,405CH4-A,V5 (500)-A,V508-A,V5-A,FL13-A,V510-A,Violet,500,
Spark Violet 538,SV538,,SparkViolet-538,V8-A,V8-A,405CH7-A,V8 (545)-A,V543-A,V7-A,FL14-A,V540-A,Violet,538,
Spark YG 570,SYG570,,SparkYG-570,YG1-A,B4-A,561CH11-A,YG1 (575)-A,Y582-A,Y1-A,FL31-A,YG585-A,YellowGreen,570,
Spark YG 581,SYG581,,SparkYG-581,YG1-A,V8-A,561CH11-A,YG1 (575)-A,Y582-A,Y1-A,FL31-A,YG585-A,YellowGreen,581,
Spark YG 593,SYG593,,SparkYG-593,YG2-A,B5-A,561CH12-A,YG2 (590)-A,Y600-A,Y2-A,FL32-A,YG602-A,YellowGreen,593,
Super Bright 436,SB436,,,V2-A,V2-A,405CH1-A,V2 (440)-A,V440-A,V2-A,FL15-A,V427-A,Violet,431,
Super Bright 600,SB600,,,V10-A,V10-A,405CH12-A,V11 (605)-A,V600-A,V9-A,FL23-A,V595-A,Violet,601,
Super Bright 645,SB645,,,V11-A,V11-A,405CH16-A,V13 (655)-A,V661-A,V11-A,FL22-A,V660-A,Violet,645,
Super Bright 702,SB702,,,V13-A,V13-A,405CH22-A,V15 (700)-A,V700-A,V13-A,FL21-A,V710-A,Violet,702,
Super Bright 780,SB780,,,V15-A,V15-A,405CH29-A,V18 (780)-A,V784-A,V17-A,FL20-A,V785-A,Violet,780,
V450,,,,V3-A,V3-A,405CH2-A,V2 (440)-A,V455-A,V2-A,FL15-A,V450-A,Violet,450,
V500,,,,V7-A,V7-A,405CH4-A,V5 (500)-A,V508-A,V5-A,FL13-A,V510-A,Violet,500,
V547,cFluor V547,,,V8-A,V8-A,405CH8-A,V8 (545)-A,V543-A,V7-A,FL14-A,V540-A,Violet,547,
ViaKrome 808,ViaKrome808,viakrome 808,,R6-A,R6-A,637CH25-A,R5 (750)-A,R757-A,R5-A,FL45-A,R730-A,Red,740,TRUE
VioBright FITC,Vio Bright FITC,VioBrightFITC,,B2-A,B2-A,488CH6-A,B2 (515)-A,B525-A,B1-A,FL37-A,B510-A,Blue,517,
YFP,Yellow Fluorescent Protein,EYFP,,B3-A,B3-A,488CH7-A,B3 (530)-A,B543-A,B2-A,FL37-A,B537-A,Blue,527,
Zombie NIR,ZombieNIR,Zombie-NIR,Zombie NIR,R7-A,R7-A,637CH26-A,R5 (750)-A,R784-A,R5-A,FL45-A,R780-A,Red,750,TRUE
Zombie UV,ZombieUV,Zombie-UV,,UV6-A,V2-A,355CH3-A,UV5 (460)-A,UV469-A,U5-A,FL09-A,UV446-A,UV,465,TRUE
Hoechst,Hoechst 33342,,,UV7-A,V3-A,355CH5-A,UV7 (500)-A,UV508-A,U7-A,FL06-A,UV446-A,UV,497,TRUE
CF350,,,,UV6-A,V2-A,355CH2-A,UV5 (460)-A,UV455-A,U5-A,FL09-A,UV446-A,UV,448,
CF405S,,,,V2-A,V2-A,405CH1-A,V2 (440)-A,V440-A,V2-A,FL15-A,V427-A,Violet,431,
CF405M,,,,V3-A,V3-A,405CH2-A,V3 (460)-A,V455-A,V3-A,FL17-A,V450-A,Violet,452,
CF405L,,,,V8-A,V8-A,405CH8-A,V8 (545)-A,V543-A,V7-A,FL14-A,V540-A,Violet,547,
CF430,,,,V5-A,V5-A,405CH4-A,V5 (500)-A,V508-A,V5-A,FL13-A,V510-A,Violet,498,
CF440,,,,V7-A,V7-A,405CH5-A,V6 (515)-A,V525-A,V5-A,FL13-A,V510-A,Violet,515,
CF450,,,,B1-A,B1-A,488CH7-A,B3 (530)-A,B543-A,B2-A,FL37-A,B510-A,Blue,538,
CF488A,,,,B1-A,B1-A,488CH5-A,B2 (515)-A,B508-A,B1-A,FL37-A,B510-A,Blue,515,
CF503R,,,,B2-A,B2-A,488CH6-A,B3 (530)-A,B525-A,B2-A,FL37-A,B537-A,Blue,532,
CF514,,,,B3-A,B3-A,488CH8-A,B4 (545)-A,B543-A,B3-A,FL36-A,B537-A,Blue,548,
CF532,,,,B3-A,B3-A,488CH9-A,B4 (545)-A,B582-A,B3-A,FL36-A,B537-A,Blue,558,
CF543,,,,YG1-A,YG1-A,488CH9-A,B5 (575)-A,B582-A,B4-A,FL38-A,YG585-A,Blue,560,
CF550R,,,,YG1-A,YG1-A,561CH11-A,YG1 (575)-A,Y582-A,Y1-A,FL31-A,YG585-A,YG,577,
CF555,,,,YG1-A,YG1-A,561CH10-A,YG1 (575)-A,Y582-A,Y1-A,FL31-A,YG585-A,YG,565,
CF568,,,,YG1-A,YG1-A,561CH11-A,YG1 (575)-A,Y582-A,Y1-A,FL31-A,YG585-A,YG,583,
CF570,,,,YG1-A,YG1-A,561CH12-A,YG2 (590)-A,Y600-A,Y2-A,FL32-A,YG585-A,YG,591,
CF583,,,,YG2-A,YG2-A,561CH13-A,YG3 (605)-A,Y600-A,Y3-A,FL34-A,YG602-A,YG,606,
CF594,,,,YG3-A,YG3-A,561CH14-A,YG3 (605)-A,Y618-A,Y3-A,FL34-A,YG602-A,YG,614,
CF620R,,,,R1-A,R1-A,637CH18-A,R1 (655)-A,R661-A,R1-A,FL46-A,R660-A,Red,639,
CF633,,,,R1-A,R1-A,637CH18-A,R1 (655)-A,R661-A,R1-A,FL46-A,R660-A,Red,650,
CF640R,,,,R2-A,R2-A,637CH18-A,R1 (655)-A,R661-A,R1-A,FL46-A,R660-A,Red,662,
CF647,CF647Plus,CF647 Plus,,R2-A,R2-A,637CH18-A,R2 (675)-A,R661-A,R2-A,FL46-A,R675-A,Red,668,
CF660C,,,,R3-A,R3-A,637CH20-A,R2 (675)-A,R681-A,R2-A,FL46-A,R680-A,Red,685,
CF660R,,,,R3-A,R3-A,637CH20-A,R2 (675)-A,R681-A,R2-A,FL46-A,R680-A,Red,682,
CF680,,,,R4-A,R4-A,637CH21-A,R3 (700)-A,R700-A,R3-A,FL47-A,R710-A,Red,698,
CF680R,,,,R4-A,R4-A,637CH21-A,R3 (700)-A,R700-A,R3-A,FL47-A,R710-A,Red,701,
CF700,,,,R4-A,R4-A,637CH23-A,R4 (725)-A,R717-A,R4-A,FL43-A,R730-A,Red,720,
CF710,,,,R5-A,R5-A,637CH24-A,R4 (725)-A,R735-A,R4-A,FL43-A,R730-A,Red,736,
CF725,,,,R6-A,R6-A,637CH26-A,R5 (750)-A,R757-A,R5-A,FL45-A,R730-A,Red,750,
CF740,,,,R7-A,R7-A,637CH27-A,R5 (750)-A,R757-A,R5-A,FL45-A,R730-A,Red,767,
CF750,,,,R7-A,R7-A,637CH28-A,R6 (780)-A,R784-A,R6-A,FL44-A,R780-A,Red,777,
CF770,,,,R8-A,R8-A,637CH30-A,R7 (810)-A,R784-A,R7-A,FL48-A,R780-A,Red,797,
CF790,,,,R8-A,R8-A,637CH31-A,R7 (810)-A,R815-A,R7-A,FL48-A,R780-A,Red,806,
CF800,,,,V16-A,V16-A,405CH32-A,V19 (810)-A,V815-A,V18-A,FL20-A,V845-A,Violet,816,
